task,category,priority,due_date
Send car service,Shopping,Medium,2025-05-29
Call budget,Home,Medium,2025-08-09
Complete resume,Study,High,2025-06-07
Read proposal,Fitness,Low,2025-06-27
Send proposal,Shopping,Medium,2025-06-28
Send proposal,Home,Low,2025-07-30
Send proposal,Finance,Low,2025-07-30
Call meeting,Health,Low,2025-07-02
Write car service,Personal,Low,2025-07-24
Fix exam,Fitness,Low,2025-05-26
Write doctor appointment,Home,Low,2025-06-09
Schedule budget,Health,High,2025-08-05
Write report,Home,High,2025-07-22
Fix exercise,Study,Low,2025-06-15
Buy lecture notes,Personal,Medium,2025-07-03
Attend budget,Work,Medium,2025-08-14
Buy assignment,Work,Medium,2025-06-19
Prepare doctor appointment,Finance,Medium,2025-08-11
Plan lecture notes,Home,Low,2025-08-14
Organize email,Work,Low,2025-07-11
Prepare email,Health,High,2025-05-31
Complete presentation,Fitness,High,2025-07-25
Attend proposal,Work,High,2025-07-21
Buy report,Fitness,High,2025-07-27
Complete invoice,Shopping,Low,2025-06-09
Submit assignment,Home,Medium,2025-06-07
Clean invoice,Study,Medium,2025-07-14
Read exam,Personal,High,2025-08-08
Update exam,Personal,High,2025-06-18
Attend invoice,Study,Medium,2025-08-03
Pay car service,Work,Low,2025-07-11
Call assignment,Health,Medium,2025-07-13
Clean presentation,Health,Low,2025-06-13
Read proposal,Study,Medium,2025-06-12
Organize car service,Health,High,2025-07-25
Prepare invoice,Home,High,2025-08-10
Read resume,Personal,Low,2025-06-18
Review budget,Work,Low,2025-07-23
Organize budget,Work,Low,2025-06-23
Write presentation,Fitness,Medium,2025-08-09
Read report,Work,Low,2025-08-17
Call doctor appointment,Health,High,2025-06-17
Organize budget,Shopping,Medium,2025-07-29
Prepare budget,Personal,High,2025-08-01
Write report,Fitness,Low,2025-05-31
Submit report,Shopping,Medium,2025-05-23
Clean proposal,Shopping,Medium,2025-05-30
Research resume,Health,Low,2025-05-31
Send email,Shopping,Medium,2025-07-09
Clean presentation,Home,High,2025-07-31
Fix email,Work,High,2025-07-30
Update proposal,Fitness,Medium,2025-08-11
Attend budget,Health,High,2025-08-07
Prepare exam,Fitness,Medium,2025-06-21
Fix exam,Shopping,Medium,2025-06-19
Buy invoice,Study,High,2025-08-12
Research resume,Finance,High,2025-07-07
Plan exam,Personal,High,2025-07-26
Clean proposal,Finance,Medium,2025-06-05
Pay report,Personal,Medium,2025-07-28
Plan presentation,Health,High,2025-06-27
Write report,Personal,High,2025-06-24
Send exercise,Health,Low,2025-06-04
Organize budget,Fitness,Low,2025-07-04
Read invoice,Finance,Low,2025-08-09
Pay proposal,Study,Medium,2025-07-28
Organize exam,Health,Medium,2025-06-09
Send proposal,Health,High,2025-07-01
Organize email,Fitness,Medium,2025-07-05
Read invoice,Home,High,2025-08-09
Call doctor appointment,Shopping,Medium,2025-08-02
Buy doctor appointment,Finance,Low,2025-06-04
Review car service,Fitness,Medium,2025-08-14
Fix assignment,Home,High,2025-08-11
Write report,Health,Low,2025-06-05
Update exercise,Shopping,Low,2025-08-15
Read resume,Work,High,2025-07-17
Organize report,Study,High,2025-06-28
Fix exercise,Personal,High,2025-06-01
Research budget,Shopping,Medium,2025-08-03
Write email,Personal,Low,2025-05-28
Fix exercise,Home,Low,2025-08-13
Organize exam,Study,Medium,2025-07-02
Organize report,Health,High,2025-06-11
Read proposal,Work,Medium,2025-07-28
Clean email,Health,Medium,2025-06-24
Pay proposal,Study,Medium,2025-07-08
Schedule budget,Shopping,High,2025-08-09
Clean car service,Finance,Medium,2025-07-26
Schedule exam,Home,High,2025-07-13
Clean doctor appointment,Finance,High,2025-05-26
Prepare resume,Work,Low,2025-06-25
Read resume,Study,High,2025-06-03
Prepare invoice,Health,High,2025-07-08
Schedule assignment,Health,Low,2025-08-12
Buy resume,Health,High,2025-06-18
Attend report,Finance,High,2025-05-26
Review assignment,Study,Low,2025-08-01
Pay doctor appointment,Work,Low,2025-07-21
Update budget,Finance,Low,2025-07-26
Fix email,Work,Medium,2025-08-15
Complete resume,Study,Low,2025-06-10
Pay budget,Fitness,Medium,2025-06-26
Buy assignment,Finance,Low,2025-07-06
Buy invoice,Personal,Medium,2025-08-08
Attend assignment,Personal,High,2025-06-29
Buy exam,Study,Low,2025-05-27
Plan meeting,Personal,Medium,2025-05-27
Complete assignment,Finance,Medium,2025-06-11
Complete email,Home,Low,2025-08-07
Pay budget,Work,Medium,2025-08-12
Plan assignment,Work,Low,2025-06-06
Call invoice,Fitness,Low,2025-06-10
Complete proposal,Health,Medium,2025-07-22
Read exercise,Personal,Medium,2025-07-18
Clean report,Health,Medium,2025-06-29
Write invoice,Personal,Medium,2025-07-17
Pay resume,Work,Low,2025-08-13
Write proposal,Finance,High,2025-07-19
Write meeting,Finance,High,2025-07-10
Pay car service,Shopping,Low,2025-06-08
Read car service,Shopping,Medium,2025-07-31
Organize doctor appointment,Finance,High,2025-08-12
Clean meeting,Health,Medium,2025-05-29
Call exam,Home,Low,2025-08-13
Fix invoice,Work,High,2025-06-03
Update budget,Study,Low,2025-07-17
Write assignment,Work,High,2025-06-19
Plan exercise,Work,Medium,2025-08-15
Buy presentation,Study,Low,2025-06-23
Pay assignment,Shopping,High,2025-06-13
Call car service,Shopping,High,2025-06-29
Write lecture notes,Shopping,Medium,2025-06-09
Fix report,Home,Low,2025-05-30
Buy presentation,Study,Low,2025-05-27
Prepare budget,Work,High,2025-07-28
Research report,Study,Medium,2025-07-20
Prepare budget,Personal,Low,2025-07-11
Call exam,Work,Low,2025-06-11
Call presentation,Finance,Medium,2025-05-25
Research exercise,Fitness,Medium,2025-06-08
Call invoice,Personal,Medium,2025-06-26
Attend exercise,Health,Low,2025-06-01
Write presentation,Shopping,Medium,2025-07-30
Prepare invoice,Shopping,High,2025-08-08
Research email,Home,High,2025-06-09
Call doctor appointment,Personal,Medium,2025-07-30
Attend exam,Home,Low,2025-06-26
Write assignment,Study,Low,2025-07-16
Submit doctor appointment,Health,High,2025-06-05
Send proposal,Home,Low,2025-08-08
Clean doctor appointment,Shopping,Medium,2025-06-26
Buy email,Health,High,2025-06-04
Buy resume,Study,High,2025-07-04
Attend budget,Home,High,2025-07-30
Prepare invoice,Fitness,Low,2025-06-11
Send exercise,Fitness,Low,2025-05-28
Fix budget,Home,Medium,2025-06-21
Call resume,Home,High,2025-07-15
Buy resume,Finance,High,2025-07-07
Pay proposal,Home,Low,2025-06-06
Buy presentation,Personal,Medium,2025-08-14
Pay resume,Home,Medium,2025-08-16
Review invoice,Home,Low,2025-07-15
Pay budget,Study,Low,2025-07-02
Fix invoice,Fitness,Medium,2025-08-05
Write email,Home,Low,2025-07-04
Call presentation,Work,Medium,2025-05-31
Prepare meeting,Shopping,High,2025-08-04
Review proposal,Work,Low,2025-07-10
Research lecture notes,Health,Low,2025-06-07
Fix assignment,Shopping,High,2025-07-20
Pay presentation,Study,High,2025-06-21
Send proposal,Home,High,2025-07-07
Pay assignment,Finance,Medium,2025-06-26
Buy invoice,Work,Low,2025-08-05
Clean email,Health,High,2025-06-05
Plan exercise,Home,High,2025-07-17
Pay email,Health,Low,2025-06-15
Send email,Home,Low,2025-06-29
Research car service,Home,Low,2025-06-09
Attend budget,Finance,High,2025-06-06
Clean budget,Work,Low,2025-08-03
Complete assignment,Work,Medium,2025-07-01
Submit invoice,Work,High,2025-07-13
Prepare email,Study,Low,2025-06-24
Research assignment,Personal,Medium,2025-07-24
Organize report,Study,Low,2025-05-25
Pay doctor appointment,Study,High,2025-06-29
Buy invoice,Fitness,Low,2025-06-10
Pay presentation,Fitness,Medium,2025-07-09
Prepare assignment,Work,Medium,2025-07-21
Prepare lecture notes,Health,Medium,2025-06-06
Write exercise,Finance,High,2025-08-16
Read resume,Fitness,High,2025-07-21
Plan resume,Fitness,High,2025-07-16
Update assignment,Personal,Low,2025-06-10
Schedule doctor appointment,Fitness,High,2025-07-01
Update car service,Study,High,2025-07-02
Organize assignment,Personal,High,2025-08-15
Research meeting,Health,Low,2025-06-29
Organize presentation,Shopping,High,2025-07-15
Fix resume,Personal,High,2025-08-12
Fix resume,Home,Medium,2025-07-15
Review budget,Work,Low,2025-07-20
Prepare assignment,Home,High,2025-07-20
Submit car service,Study,Medium,2025-06-06
Attend exercise,Work,Medium,2025-07-17
Read proposal,Study,Low,2025-07-26
Pay invoice,Health,Low,2025-06-04
Submit exam,Home,Medium,2025-07-02
Plan presentation,Home,Low,2025-05-27
Organize car service,Personal,Medium,2025-06-26
Pay lecture notes,Health,Medium,2025-06-14
Fix report,Shopping,High,2025-06-22
Clean exercise,Home,Low,2025-07-10
Buy presentation,Personal,Medium,2025-06-23
Schedule budget,Fitness,Medium,2025-08-06
Submit lecture notes,Shopping,Low,2025-06-29
Send budget,Shopping,Medium,2025-08-09
Attend resume,Fitness,Medium,2025-07-16
Update report,Finance,High,2025-06-29
Submit car service,Home,High,2025-08-15
Fix exam,Home,Low,2025-05-30
Read exercise,Home,High,2025-06-25
Schedule proposal,Work,Low,2025-06-27
Update proposal,Study,High,2025-07-20
Schedule proposal,Health,Low,2025-06-20
Fix doctor appointment,Work,Low,2025-07-13
Schedule presentation,Study,Medium,2025-07-18
Call exam,Shopping,Medium,2025-07-18
Review email,Health,Low,2025-06-12
Send car service,Fitness,Medium,2025-06-21
Clean email,Study,High,2025-07-31
Call resume,Personal,Low,2025-06-23
Attend meeting,Personal,Medium,2025-07-12
Send car service,Personal,Low,2025-08-13
Prepare budget,Shopping,High,2025-06-19
Research doctor appointment,Finance,High,2025-08-17
Review exercise,Fitness,High,2025-06-16
Submit doctor appointment,Personal,Medium,2025-06-02
Prepare exam,Fitness,High,2025-08-02
Buy lecture notes,Work,High,2025-06-14
Write presentation,Personal,Low,2025-07-24
Buy doctor appointment,Study,Low,2025-08-06
Review car service,Health,High,2025-07-13
Read exam,Personal,Medium,2025-06-03
Attend report,Study,Medium,2025-06-03
Complete report,Home,Low,2025-05-25
Review budget,Shopping,Low,2025-07-20
Clean resume,Work,Medium,2025-08-11
Clean budget,Finance,Low,2025-06-10
Fix lecture notes,Personal,Low,2025-07-24
Attend exam,Work,Low,2025-06-14
Buy invoice,Personal,Medium,2025-07-22
Research proposal,Work,Medium,2025-06-15
Schedule exam,Fitness,Medium,2025-07-12
Send budget,Personal,Medium,2025-06-11
Plan assignment,Home,High,2025-08-07
Send exam,Study,Medium,2025-07-17
Research doctor appointment,Finance,Low,2025-05-23
Write invoice,Personal,Medium,2025-07-28
Submit email,Shopping,Low,2025-07-01
Send doctor appointment,Study,Low,2025-05-30
Research meeting,Finance,High,2025-07-15
Attend email,Shopping,Low,2025-08-01
Review budget,Finance,High,2025-07-16
Call assignment,Home,High,2025-06-15
Call presentation,Personal,Low,2025-07-08
Organize car service,Work,Low,2025-06-29
Clean doctor appointment,Health,Low,2025-06-26
Organize lecture notes,Finance,Low,2025-06-17
Submit lecture notes,Study,Medium,2025-06-05
Update lecture notes,Study,High,2025-06-16
Update email,Fitness,Low,2025-06-01
Read resume,Study,Low,2025-08-16
Plan invoice,Study,Medium,2025-08-14
Pay meeting,Shopping,Low,2025-07-07
Pay car service,Personal,High,2025-06-18
Complete lecture notes,Health,Medium,2025-07-30
Submit report,Personal,High,2025-08-02
Buy presentation,Home,Low,2025-06-14
Submit resume,Work,High,2025-08-03
Fix budget,Finance,Low,2025-06-20
Call presentation,Personal,High,2025-06-04
Research presentation,Study,High,2025-08-10
Call presentation,Work,Low,2025-06-03
Fix proposal,Study,Medium,2025-05-24
Prepare resume,Work,High,2025-07-14
Pay lecture notes,Home,High,2025-07-02
Call lecture notes,Study,Medium,2025-05-30
Submit assignment,Finance,Medium,2025-07-05
Fix budget,Home,Low,2025-07-17
Write assignment,Home,Low,2025-07-15
Fix doctor appointment,Finance,Medium,2025-05-29
Read invoice,Health,Medium,2025-06-07
Update invoice,Home,Medium,2025-07-01
Schedule resume,Home,Medium,2025-06-18
Research car service,Health,Medium,2025-08-17
Buy lecture notes,Health,Low,2025-07-20
Submit budget,Home,High,2025-05-25
Prepare invoice,Study,Medium,2025-06-05
Research resume,Shopping,Medium,2025-07-01
Submit budget,Fitness,Medium,2025-08-15
Plan car service,Finance,Low,2025-07-19
Prepare budget,Work,Low,2025-06-25
Schedule presentation,Fitness,High,2025-06-14
Plan invoice,Fitness,Low,2025-06-05
Read meeting,Personal,Low,2025-06-17
Complete exercise,Work,High,2025-08-13
Schedule proposal,Study,Low,2025-08-02
Complete proposal,Study,Low,2025-07-15
Review report,Work,High,2025-08-11
Call exam,Home,Low,2025-07-28
Review exercise,Fitness,Medium,2025-05-22
Read doctor appointment,Health,High,2025-06-12
Attend car service,Shopping,High,2025-07-23
Attend exam,Shopping,Low,2025-08-12
Read proposal,Health,Medium,2025-07-23
Buy report,Personal,Low,2025-06-24
Complete report,Fitness,High,2025-05-24
Schedule exercise,Fitness,Low,2025-07-15
Schedule proposal,Fitness,Medium,2025-06-27
Update invoice,Work,Low,2025-07-31
Fix exam,Home,Low,2025-08-13
Attend resume,Finance,Medium,2025-07-05
Send exercise,Home,High,2025-08-02
Prepare budget,Study,High,2025-06-21
Review email,Home,Low,2025-06-18
Review exercise,Personal,High,2025-06-23
Schedule budget,Fitness,Medium,2025-07-30
Research exercise,Finance,High,2025-06-13
Clean email,Shopping,Low,2025-07-18
Update exercise,Health,Medium,2025-06-18
Complete email,Home,Medium,2025-08-11
Update doctor appointment,Shopping,High,2025-07-14
Call budget,Work,Medium,2025-07-29
Plan exercise,Personal,Low,2025-07-09
Fix meeting,Work,Medium,2025-07-14
Submit proposal,Personal,High,2025-06-25
Organize invoice,Finance,Medium,2025-08-01
Send proposal,Home,Low,2025-07-12
Read exercise,Home,Low,2025-08-10
Fix lecture notes,Health,Medium,2025-06-01
Write proposal,Personal,Medium,2025-06-06
Submit budget,Study,Medium,2025-07-23
Read proposal,Finance,Low,2025-07-18
Buy proposal,Work,High,2025-07-31
Schedule meeting,Finance,High,2025-05-23
Plan budget,Finance,Medium,2025-07-04
Prepare lecture notes,Work,Low,2025-08-03
Complete email,Health,Low,2025-07-03
Organize doctor appointment,Personal,Low,2025-05-26
Submit exercise,Study,High,2025-06-02
Clean car service,Shopping,Medium,2025-05-22
Fix exam,Home,Medium,2025-05-24
Prepare report,Shopping,High,2025-08-16
Submit report,Study,High,2025-06-13
Clean exam,Personal,Low,2025-07-30
Clean assignment,Shopping,Medium,2025-05-29
Complete exercise,Finance,Low,2025-06-13
Call report,Personal,Medium,2025-06-15
Write proposal,Finance,Medium,2025-07-21
Buy invoice,Home,Low,2025-07-02
Submit doctor appointment,Work,High,2025-07-15
Schedule assignment,Shopping,Medium,2025-08-14
Organize lecture notes,Personal,Medium,2025-06-22
Research assignment,Study,Medium,2025-08-01
Call assignment,Finance,Low,2025-08-16
Plan doctor appointment,Health,Low,2025-08-13
Prepare email,Health,Low,2025-07-18
Organize budget,Shopping,Low,2025-07-03
Schedule lecture notes,Fitness,Medium,2025-06-02
Organize proposal,Study,Medium,2025-06-04
Organize exam,Personal,Medium,2025-05-27
Update resume,Home,High,2025-06-09
Complete doctor appointment,Personal,Medium,2025-07-05
Call exercise,Fitness,Medium,2025-07-01
Schedule proposal,Home,Medium,2025-07-26
Plan presentation,Personal,High,2025-07-27
Update resume,Study,High,2025-07-16
Read presentation,Home,High,2025-07-12
Plan proposal,Shopping,Medium,2025-06-15
Prepare report,Fitness,Medium,2025-06-09
Buy meeting,Work,High,2025-06-16
Schedule exercise,Work,Low,2025-07-24
Update invoice,Personal,High,2025-07-11
Buy invoice,Fitness,Medium,2025-06-09
Write lecture notes,Work,Low,2025-06-11
Pay doctor appointment,Health,High,2025-07-28
Organize email,Study,High,2025-06-05
Prepare resume,Study,Medium,2025-06-26
Schedule report,Shopping,Low,2025-06-10
Submit exam,Personal,Low,2025-06-09
Call meeting,Fitness,High,2025-05-25
Update presentation,Home,Medium,2025-06-01
Write proposal,Shopping,Medium,2025-07-12
Read email,Health,Medium,2025-08-10
Send invoice,Personal,Medium,2025-07-11
Fix lecture notes,Study,Medium,2025-05-26
Update doctor appointment,Work,High,2025-07-01
Fix resume,Health,Medium,2025-07-13
Fix exercise,Fitness,High,2025-05-27
Read resume,Work,High,2025-06-10
Prepare budget,Personal,High,2025-08-17
Prepare meeting,Study,High,2025-07-08
Submit doctor appointment,Fitness,High,2025-07-13
Update budget,Home,Low,2025-06-09
Call doctor appointment,Fitness,Medium,2025-08-13
Complete presentation,Personal,High,2025-08-15
Attend lecture notes,Study,High,2025-06-26
Read lecture notes,Health,Low,2025-08-06
Read car service,Home,Medium,2025-07-21
Plan lecture notes,Personal,Medium,2025-07-22
Schedule presentation,Shopping,Medium,2025-08-13
Schedule doctor appointment,Health,Medium,2025-07-10
Research exercise,Personal,High,2025-06-02
Call assignment,Fitness,Medium,2025-05-24
Write lecture notes,Home,Low,2025-06-04
Update meeting,Fitness,High,2025-06-12
Read car service,Work,Medium,2025-06-22
Prepare exam,Health,High,2025-08-05
Schedule meeting,Home,High,2025-07-20
Buy presentation,Fitness,Low,2025-07-25
